Time PAO1_Count PAO1_Conc Glycerol_Count Glycerol_Conc PAO1_Died bacteria_couldn't_eat
0 43 0.21 57811 2.76 0 0
2 43 0.21 57811 2.76 0 0
4 43 0.21 57792 2.76 0 0
6 43 0.21 57757 2.76 0 0
8 43 0.22 57733 2.76 0 0
10 43 0.22 57699 2.76 0 0
12 43 0.22 57673 2.75 0 0
14 43 0.22 57640 2.75 0 0
16 43 0.23 57601 2.75 0 0
18 43 0.23 57576 2.75 0 0
20 43 0.23 57527 2.75 0 0
22 43 0.24 57494 2.75 0 0
24 43 0.24 57459 2.74 0 0
26 43 0.24 57417 2.74 0 0
28 43 0.24 57382 2.74 0 0
30 43 0.25 57335 2.74 0 0
32 43 0.25 57293 2.74 0 0
34 43 0.25 57250 2.74 0 0
36 43 0.26 57212 2.73 0 0
38 43 0.26 57168 2.73 0 0
40 43 0.27 57123 2.73 0 0
42 43 0.27 57081 2.73 0 0
44 43 0.27 57038 2.73 0 0
46 43 0.28 56994 2.72 0 0
48 43 0.28 56949 2.72 0 0
50 43 0.28 56908 2.72 0 0
52 43 0.29 56864 2.72 0 0
54 43 0.29 56822 2.71 0 0
56 43 0.29 56777 2.71 0 0
58 43 0.3 56734 2.71 0 0
60 43 0.3 56692 2.71 0 0
62 43 0.3 56649 2.71 0 0
64 43 0.31 56605 2.7 0 0
66 43 0.31 56561 2.7 0 0
68 43 0.32 56518 2.7 0 0
70 43 0.32 56475 2.7 0 0
72 43 0.32 56432 2.7 0 0
74 43 0.33 56389 2.69 0 0
76 43 0.33 56345 2.69 0 0
78 43 0.33 56302 2.69 0 0
80 43 0.34 56259 2.69 0 0
82 43 0.34 56216 2.69 0 0
84 43 0.34 56173 2.68 0 0
86 43 0.35 56128 2.68 0 0
88 43 0.35 56083 2.68 0 0
90 43 0.35 56040 2.68 0 0
92 43 0.36 55997 2.68 0 0
94 43 0.36 55953 2.67 0 0
96 43 0.37 55910 2.67 0 0
98 43 0.37 55867 2.67 0 0
100 43 0.37 55823 2.67 0 0
102 43 0.38 55778 2.66 0 0
104 43 0.38 55732 2.66 0 0
106 43 0.38 55687 2.66 0 0
108 43 0.39 55643 2.66 0 0
110 43 0.39 55594 2.66 0 0
112 43 0.39 55544 2.65 0 0
114 43 0.4 55496 2.65 0 0
116 43 0.4 55442 2.65 0 0
118 45 0.41 55394 2.65 0 0
120 54 0.41 55343 2.64 0 0
122 63 0.42 55292 2.64 0 0
