Time PAO1_Count PAO1_Conc Glycerol_Count Glycerol_Conc PAO1_Died bacteria_couldn't_eat
0 43 0.21 57811 2.76 0 0
2 43 0.21 57811 2.76 0 0
4 43 0.36 56420 2.69 0 0
6 129 0.63 53971 2.58 0 0
8 129 1.08 49749 2.37 0 0
10 386 1.87 42402 2.02 0 0
12 386 3.21 30027 1.43 0 3
14 890 4.92 14002 0.67 0 47
16 977 6.09 2867 0.14 0 456
18 991 6.35 62 0.0 0 619
20 992 6.36 1 0.0 0 940
22 992 6.36 0 0.0 0 991
24 992 6.36 0 0.0 0 992
26 992 6.36 0 0.0 0 992
28 992 6.36 0 0.0 0 992
30 992 6.36 0 0.0 0 992
32 992 6.36 0 0.0 0 992
34 992 6.36 0 0.0 0 992
36 992 6.36 0 0.0 0 992
38 992 6.36 0 0.0 0 992
40 992 6.36 0 0.0 0 992
42 992 6.36 0 0.0 0 992
44 992 6.36 0 0.0 0 992
46 992 6.36 0 0.0 0 992
48 992 6.36 0 0.0 0 992
50 992 6.36 0 0.0 0 992
52 992 6.36 0 0.0 0 992
54 992 6.36 0 0.0 0 992
56 992 6.36 0 0.0 0 992
58 992 6.36 0 0.0 0 992
60 992 6.36 0 0.0 0 992
62 992 6.36 0 0.0 0 992
64 992 6.36 0 0.0 0 992
66 992 6.36 0 0.0 0 992
68 992 6.36 0 0.0 0 992
70 992 6.36 0 0.0 0 992
72 992 6.36 0 0.0 0 992
74 992 6.36 0 0.0 0 992
76 992 6.36 0 0.0 0 992
78 992 6.36 0 0.0 0 992
80 992 6.36 0 0.0 0 992
82 992 6.36 0 0.0 0 992
84 992 6.36 0 0.0 0 992
86 992 6.36 0 0.0 0 992
88 992 6.36 0 0.0 0 992
90 992 6.36 0 0.0 0 992
92 992 6.36 0 0.0 0 992
94 992 6.36 0 0.0 0 992
96 992 6.36 0 0.0 0 992
98 992 6.36 0 0.0 0 992
100 992 6.36 0 0.0 0 992
102 992 6.36 0 0.0 0 992
104 992 6.36 0 0.0 0 992
106 992 6.36 0 0.0 0 992
108 992 6.36 0 0.0 0 992
110 992 6.36 0 0.0 0 992
112 992 6.36 0 0.0 0 992
114 992 6.36 0 0.0 0 992
116 992 6.36 0 0.0 0 992
118 992 6.36 0 0.0 0 992
120 992 6.36 0 0.0 0 992
122 992 6.36 0 0.0 0 992
124 992 6.36 0 0.0 0 992
126 992 6.36 0 0.0 0 992
128 992 6.36 0 0.0 0 992
