Time PAO1_Count PAO1_Conc Glycerol_Count Glycerol_Conc PAO1_Died bacteria_couldn't_eat
0 43 0.21 57811 2.76 0 0
2 43 0.21 57811 2.76 0 0
4 43 0.36 56404 2.69 0 0
6 129 0.63 53962 2.57 0 0
8 129 1.08 49714 2.37 0 0
10 384 1.88 42380 2.02 0 0
12 390 3.21 29996 1.43 0 1
14 912 4.99 13394 0.64 0 39
16 966 6.13 2514 0.12 0 461
18 983 6.36 54 0.0 0 626
20 983 6.36 0 0.0 0 948
22 983 6.36 0 0.0 0 983
24 983 6.36 0 0.0 0 983
26 983 6.36 0 0.0 0 983
28 983 6.36 0 0.0 0 983
30 983 6.36 0 0.0 0 983
32 983 6.36 0 0.0 0 983
34 983 6.36 0 0.0 0 983
36 983 6.36 0 0.0 0 983
38 983 6.36 0 0.0 0 983
40 983 6.36 0 0.0 0 983
42 983 6.36 0 0.0 0 983
44 983 6.36 0 0.0 0 983
46 983 6.36 0 0.0 0 983
48 983 6.36 0 0.0 0 983
50 983 6.36 0 0.0 0 983
52 983 6.36 0 0.0 0 983
54 983 6.36 0 0.0 0 983
56 983 6.36 0 0.0 0 983
58 983 6.36 0 0.0 0 983
60 983 6.36 0 0.0 0 983
62 983 6.36 0 0.0 0 983
64 983 6.36 0 0.0 0 983
66 983 6.36 0 0.0 0 983
68 983 6.36 0 0.0 0 983
70 983 6.36 0 0.0 0 983
72 983 6.36 0 0.0 0 983
74 983 6.36 0 0.0 0 983
76 983 6.36 0 0.0 0 983
78 983 6.36 0 0.0 0 983
80 983 6.36 0 0.0 0 983
82 983 6.36 0 0.0 0 983
84 983 6.36 0 0.0 0 983
86 983 6.36 0 0.0 0 983
88 983 6.36 0 0.0 0 983
90 983 6.36 0 0.0 0 983
92 983 6.36 0 0.0 0 983
94 983 6.36 0 0.0 0 983
96 983 6.36 0 0.0 0 983
98 983 6.36 0 0.0 0 983
100 983 6.36 0 0.0 0 983
102 983 6.36 0 0.0 0 983
104 983 6.36 0 0.0 0 983
106 983 6.36 0 0.0 0 983
108 983 6.36 0 0.0 0 983
110 983 6.36 0 0.0 0 983
112 983 6.36 0 0.0 0 983
114 983 6.36 0 0.0 0 983
116 983 6.36 0 0.0 0 983
118 983 6.36 0 0.0 0 983
120 983 6.36 0 0.0 0 983
122 983 6.36 0 0.0 0 983
124 983 6.36 0 0.0 0 983
126 983 6.36 0 0.0 0 983
128 983 6.36 0 0.0 0 983
