Time PAO1_Count PAO1_Conc Glycerol_Count Glycerol_Conc PAO1_Died bacteria_couldn't_eat
0 43 0.21 57811 2.76 0 0
2 43 0.21 57811 2.76 0 0
4 43 0.21 57789 2.76 0 0
6 43 0.21 57754 2.76 0 0
8 43 0.22 57728 2.76 0 0
10 43 0.22 57692 2.75 0 0
12 43 0.22 57669 2.75 0 0
14 43 0.22 57630 2.75 0 0
16 43 0.23 57601 2.75 0 0
18 43 0.23 57562 2.75 0 0
20 43 0.23 57529 2.75 0 0
22 43 0.24 57494 2.74 0 0
24 43 0.24 57454 2.74 0 0
26 43 0.24 57417 2.74 0 0
28 43 0.24 57379 2.74 0 0
30 43 0.25 57340 2.74 0 0
32 43 0.25 57297 2.74 0 0
34 43 0.25 57254 2.73 0 0
36 43 0.26 57214 2.73 0 0
38 43 0.26 57171 2.73 0 0
40 43 0.26 57131 2.73 0 0
42 43 0.27 57088 2.73 0 0
44 43 0.27 57040 2.72 0 0
46 43 0.28 57003 2.72 0 0
48 43 0.28 56956 2.72 0 0
50 43 0.28 56914 2.72 0 0
52 43 0.29 56870 2.72 0 0
54 43 0.29 56825 2.71 0 0
56 43 0.29 56782 2.71 0 0
58 43 0.3 56741 2.71 0 0
60 43 0.3 56696 2.71 0 0
62 43 0.3 56653 2.7 0 0
64 43 0.31 56610 2.7 0 0
66 43 0.31 56567 2.7 0 0
68 43 0.32 56524 2.7 0 0
70 43 0.32 56481 2.7 0 0
72 43 0.32 56439 2.69 0 0
74 43 0.33 56395 2.69 0 0
76 43 0.33 56352 2.69 0 0
78 43 0.33 56309 2.69 0 0
80 43 0.34 56265 2.69 0 0
82 43 0.34 56222 2.68 0 0
84 43 0.34 56178 2.68 0 0
86 43 0.35 56135 2.68 0 0
88 43 0.35 56090 2.68 0 0
90 43 0.35 56047 2.68 0 0
92 43 0.36 56002 2.67 0 0
94 43 0.36 55957 2.67 0 0
96 43 0.37 55913 2.67 0 0
98 43 0.37 55866 2.67 0 0
100 43 0.37 55821 2.67 0 0
102 43 0.38 55776 2.66 0 0
104 43 0.38 55729 2.66 0 0
106 43 0.38 55682 2.66 0 0
108 43 0.39 55635 2.66 0 0
110 43 0.39 55589 2.65 0 0
112 43 0.4 55544 2.65 0 0
114 43 0.4 55495 2.65 0 0
116 44 0.4 55444 2.65 0 0
118 44 0.41 55394 2.65 0 0
120 51 0.41 55339 2.64 0 0
122 63 0.42 55287 2.64 0 0
