Time PAO1_Count PAO1_Conc Acetate_Count Acetate_Conc PAO1_Died bacteria_couldn't_eat
0 4 0.02 77081 2.4 0 0
2 4 0.02 77081 2.4 0 0
4 4 0.02 77070 2.4 0 0
6 4 0.02 77058 2.4 0 0
8 4 0.02 77047 2.4 0 0
10 4 0.02 77036 2.4 0 0
12 4 0.02 77024 2.4 0 0
14 4 0.02 77012 2.4 0 0
16 4 0.02 76999 2.4 0 0
18 4 0.02 76985 2.4 0 0
20 4 0.02 76971 2.4 0 0
22 4 0.02 76959 2.4 0 0
24 4 0.02 76946 2.4 0 0
26 4 0.02 76934 2.39 0 0
28 4 0.03 76921 2.39 0 0
30 4 0.03 76907 2.39 0 0
32 4 0.03 76893 2.39 0 0
34 4 0.03 76878 2.39 0 0
36 4 0.03 76862 2.39 0 0
38 4 0.03 76846 2.39 0 0
40 4 0.03 76831 2.39 0 0
42 4 0.03 76815 2.39 0 0
44 4 0.03 76799 2.39 0 0
46 4 0.03 76782 2.39 0 0
48 4 0.03 76763 2.39 0 0
50 4 0.03 76745 2.39 0 0
52 4 0.03 76727 2.39 0 0
54 4 0.03 76708 2.39 0 0
56 4 0.03 76689 2.39 0 0
58 4 0.03 76670 2.39 0 0
60 4 0.04 76650 2.39 0 0
62 4 0.04 76630 2.39 0 0
64 4 0.04 76609 2.38 0 0
66 4 0.04 76588 2.38 0 0
68 5 0.04 76568 2.38 0 0
70 7 0.04 76545 2.38 0 0
72 8 0.04 76524 2.38 0 0
74 8 0.04 76503 2.38 0 0
76 8 0.04 76481 2.38 0 0
78 8 0.04 76459 2.38 0 0
80 8 0.04 76436 2.38 0 0
82 8 0.04 76412 2.38 0 0
84 8 0.05 76388 2.38 0 0
86 8 0.05 76363 2.38 0 0
88 8 0.05 76337 2.38 0 0
90 8 0.05 76312 2.38 0 0
92 8 0.05 76285 2.37 0 0
94 8 0.05 76255 2.37 0 0
96 8 0.05 76226 2.37 0 0
98 8 0.05 76197 2.37 0 0
100 8 0.05 76166 2.37 0 0
102 8 0.05 76135 2.37 0 0
104 8 0.06 76104 2.37 0 0
106 8 0.06 76072 2.37 0 0
108 8 0.06 76038 2.37 0 0
110 8 0.06 76006 2.37 0 0
112 8 0.06 75971 2.36 0 0
114 8 0.06 75938 2.36 0 0
116 8 0.06 75903 2.36 0 0
118 8 0.06 75865 2.36 0 0
120 8 0.07 75826 2.36 0 0
122 8 0.07 75786 2.36 0 0
124 8 0.07 75745 2.36 0 0
126 8 0.07 75706 2.36 0 0
128 8 0.07 75663 2.36 0 0
130 8 0.07 75620 2.35 0 0
132 8 0.08 75577 2.35 0 0
134 9 0.08 75533 2.35 0 0
136 15 0.08 75487 2.35 0 0
138 16 0.08 75442 2.35 0 0
140 16 0.08 75401 2.35 0 0
142 16 0.08 75354 2.35 0 0
144 16 0.09 75307 2.34 0 0
146 16 0.09 75258 2.34 0 0
148 16 0.09 75209 2.34 0 0
150 16 0.09 75160 2.34 0 0
152 16 0.09 75113 2.34 0 0
154 16 0.09 75064 2.34 0 0
156 16 0.1 75008 2.34 0 0
158 16 0.1 74955 2.33 0 0
160 16 0.1 74900 2.33 0 0
162 16 0.1 74842 2.33 0 0
164 16 0.1 74784 2.33 0 0
166 16 0.11 74724 2.33 0 0
168 16 0.11 74665 2.32 0 0
170 16 0.11 74602 2.32 0 0
172 16 0.11 74538 2.32 0 0
174 16 0.12 74474 2.32 0 0
176 16 0.12 74408 2.32 0 0
178 16 0.12 74339 2.31 0 0
180 16 0.12 74274 2.31 0 0
182 16 0.13 74202 2.31 0 0
184 16 0.13 74129 2.31 0 0
186 16 0.13 74053 2.31 0 0
188 16 0.13 73974 2.3 0 0
190 16 0.14 73897 2.3 0 0
192 16 0.14 73816 2.3 0 0
194 16 0.14 73735 2.3 0 0
196 16 0.15 73650 2.29 0 0
198 16 0.15 73562 2.29 0 0
200 19 0.15 73475 2.29 0 0
202 25 0.16 73388 2.28 0 0
204 32 0.16 73303 2.28 0 0
206 32 0.16 73213 2.28 0 0
208 32 0.17 73122 2.28 0 0
210 32 0.17 73030 2.27 0 0
212 32 0.17 72938 2.27 0 0
214 32 0.18 72844 2.27 0 0
216 32 0.18 72744 2.26 0 0
218 32 0.18 72645 2.26 0 0
220 32 0.19 72545 2.26 0 0
222 32 0.19 72443 2.26 0 0
224 32 0.2 72344 2.25 0 0
226 32 0.2 72237 2.25 0 0
228 32 0.2 72126 2.25 0 0
230 32 0.21 72007 2.24 0 0
232 32 0.21 71886 2.24 0 0
234 32 0.22 71764 2.23 0 0
236 32 0.22 71640 2.23 0 0
238 32 0.23 71514 2.23 0 0
