Time PAO1_Count PAO1_Conc Acetate_Count Acetate_Conc PAO1_Died bacteria_couldn't_eat
0 4 0.02 77081 2.4 0 0
2 4 0.02 77081 2.4 0 0
4 4 0.02 77070 2.4 0 0
6 4 0.02 77058 2.4 0 0
8 4 0.02 77046 2.4 0 0
10 4 0.02 77034 2.4 0 0
12 4 0.02 77022 2.4 0 0
14 4 0.02 77010 2.4 0 0
16 4 0.02 76998 2.4 0 0
18 4 0.02 76986 2.4 0 0
20 4 0.02 76973 2.4 0 0
22 4 0.02 76961 2.4 0 0
24 4 0.02 76947 2.4 0 0
26 4 0.02 76933 2.39 0 0
28 4 0.03 76919 2.39 0 0
30 4 0.03 76904 2.39 0 0
32 4 0.03 76891 2.39 0 0
34 4 0.03 76877 2.39 0 0
36 4 0.03 76862 2.39 0 0
38 4 0.03 76846 2.39 0 0
40 4 0.03 76830 2.39 0 0
42 4 0.03 76812 2.39 0 0
44 4 0.03 76795 2.39 0 0
46 4 0.03 76778 2.39 0 0
48 4 0.03 76761 2.39 0 0
50 4 0.03 76745 2.39 0 0
52 4 0.03 76726 2.39 0 0
54 4 0.03 76707 2.39 0 0
56 4 0.03 76688 2.39 0 0
58 4 0.03 76667 2.39 0 0
60 4 0.04 76647 2.39 0 0
62 4 0.04 76626 2.39 0 0
64 4 0.04 76604 2.38 0 0
66 4 0.04 76581 2.38 0 0
68 6 0.04 76558 2.38 0 0
70 8 0.04 76537 2.38 0 0
72 8 0.04 76514 2.38 0 0
74 8 0.04 76490 2.38 0 0
76 8 0.04 76466 2.38 0 0
78 8 0.04 76443 2.38 0 0
80 8 0.04 76419 2.38 0 0
82 8 0.04 76395 2.38 0 0
84 8 0.05 76371 2.38 0 0
86 8 0.05 76348 2.38 0 0
88 8 0.05 76323 2.38 0 0
90 8 0.05 76298 2.37 0 0
92 8 0.05 76272 2.37 0 0
94 8 0.05 76246 2.37 0 0
96 8 0.05 76220 2.37 0 0
98 8 0.05 76190 2.37 0 0
100 8 0.05 76160 2.37 0 0
102 8 0.05 76129 2.37 0 0
104 8 0.06 76097 2.37 0 0
106 8 0.06 76065 2.37 0 0
108 8 0.06 76032 2.37 0 0
110 8 0.06 75998 2.37 0 0
112 8 0.06 75966 2.36 0 0
114 8 0.06 75930 2.36 0 0
116 8 0.06 75895 2.36 0 0
118 8 0.06 75858 2.36 0 0
120 8 0.07 75820 2.36 0 0
122 8 0.07 75780 2.36 0 0
124 8 0.07 75742 2.36 0 0
126 8 0.07 75701 2.36 0 0
128 8 0.07 75660 2.35 0 0
130 8 0.07 75618 2.35 0 0
132 8 0.08 75574 2.35 0 0
134 11 0.08 75529 2.35 0 0
136 15 0.08 75486 2.35 0 0
138 16 0.08 75444 2.35 0 0
140 16 0.08 75396 2.35 0 0
142 16 0.08 75349 2.35 0 0
144 16 0.09 75302 2.34 0 0
146 16 0.09 75255 2.34 0 0
148 16 0.09 75207 2.34 0 0
150 16 0.09 75158 2.34 0 0
152 16 0.09 75108 2.34 0 0
154 16 0.09 75056 2.34 0 0
156 16 0.1 75002 2.33 0 0
158 16 0.1 74950 2.33 0 0
160 16 0.1 74893 2.33 0 0
162 16 0.1 74832 2.33 0 0
164 16 0.11 74775 2.33 0 0
166 16 0.11 74716 2.33 0 0
168 16 0.11 74655 2.32 0 0
170 16 0.11 74591 2.32 0 0
172 16 0.11 74525 2.32 0 0
174 16 0.12 74461 2.32 0 0
176 16 0.12 74394 2.32 0 0
178 16 0.12 74325 2.31 0 0
180 16 0.12 74257 2.31 0 0
182 16 0.13 74189 2.31 0 0
184 16 0.13 74115 2.31 0 0
186 16 0.13 74038 2.3 0 0
188 16 0.14 73961 2.3 0 0
190 16 0.14 73881 2.3 0 0
192 16 0.14 73800 2.3 0 0
194 16 0.14 73716 2.29 0 0
196 16 0.15 73631 2.29 0 0
198 17 0.15 73543 2.29 0 0
200 22 0.15 73456 2.29 0 0
202 30 0.16 73366 2.28 0 0
204 31 0.16 73280 2.28 0 0
206 32 0.16 73187 2.28 0 0
208 32 0.17 73097 2.28 0 0
210 32 0.17 73001 2.27 0 0
212 32 0.17 72910 2.27 0 0
214 32 0.18 72815 2.27 0 0
216 32 0.18 72718 2.26 0 0
218 32 0.19 72619 2.26 0 0
220 32 0.19 72514 2.26 0 0
222 32 0.19 72410 2.25 0 0
224 32 0.2 72304 2.25 0 0
226 32 0.2 72197 2.25 0 0
228 32 0.21 72082 2.24 0 0
230 32 0.21 71966 2.24 0 0
232 32 0.21 71846 2.24 0 0
234 32 0.22 71722 2.23 0 0
236 32 0.22 71597 2.23 0 0
238 32 0.23 71467 2.22 0 0
