Time Custom..._Count Custom..._Conc Glycerol_Count Glycerol_Conc Custom..._Died bacteria_couldn't_eat
124 86 0.44 52233 2.49 0 0
126 86 0.45 52098 2.48 0 0
128 86 0.45 51969 2.48 0 0
130 86 0.46 51836 2.47 0 0
132 86 0.46 51696 2.46 0 0
134 86 0.47 51557 2.46 0 0
136 86 0.48 51417 2.45 0 0
138 86 0.48 51271 2.44 0 0
140 86 0.49 51122 2.44 0 0
142 86 0.49 50979 2.43 0 0
144 86 0.5 50822 2.42 0 0
146 86 0.51 50669 2.42 0 0
148 86 0.51 50519 2.41 0 0
150 86 0.52 50369 2.4 0 0
152 86 0.53 50210 2.39 0 0
154 86 0.53 50047 2.39 0 0
156 86 0.54 49882 2.38 0 0
158 86 0.54 49719 2.37 0 0
160 86 0.55 49559 2.36 0 0
162 86 0.56 49391 2.36 0 0
164 86 0.57 49228 2.35 0 0
166 86 0.57 49060 2.34 0 0
168 86 0.58 48885 2.33 0 0
170 86 0.59 48716 2.32 0 0
172 86 0.59 48531 2.31 0 0
174 86 0.6 48344 2.31 0 0
176 86 0.61 48162 2.3 0 0
178 86 0.62 47980 2.29 0 0
180 86 0.62 47787 2.28 0 0
182 86 0.63 47596 2.27 0 0
184 86 0.64 47405 2.26 0 0
186 86 0.65 47213 2.25 0 0
188 86 0.66 47019 2.24 0 0
190 86 0.66 46828 2.23 0 0
192 86 0.67 46625 2.22 0 0
194 86 0.68 46427 2.21 0 0
196 86 0.69 46219 2.2 0 0
198 86 0.7 46009 2.19 0 0
200 86 0.71 45801 2.18 0 0
202 86 0.71 45577 2.17 0 0
204 86 0.72 45366 2.16 0 0
206 86 0.73 45149 2.15 0 0
208 86 0.74 44938 2.14 0 0
210 86 0.75 44717 2.13 0 0
212 86 0.76 44492 2.12 0 0
214 86 0.77 44260 2.11 0 0
216 86 0.78 44032 2.1 0 0
218 86 0.79 43795 2.09 0 0
220 86 0.8 43561 2.08 0 0
222 86 0.81 43316 2.06 0 0
224 86 0.82 43074 2.05 0 0
226 86 0.83 42822 2.04 0 0
228 172 0.84 42568 2.03 0 0
230 172 0.85 42314 2.02 0 0
232 172 0.86 42066 2.0 0 0
234 172 0.87 41807 1.99 0 0
236 172 0.88 41547 1.98 0 0
238 172 0.89 41279 1.97 0 0
240 172 0.9 41018 1.95 0 0
242 172 0.91 40763 1.94 0 0
244 172 0.93 40493 1.93 0 0
246 172 0.94 40204 1.91 0 0
248 172 0.95 39919 1.9 0 0
250 172 0.96 39631 1.89 0 0
252 172 0.97 39347 1.87 0 0
254 172 0.98 39060 1.86 0 0
256 172 1.0 38763 1.85 0 0
258 172 1.01 38465 1.83 0 0
260 172 1.02 38160 1.82 0 0
262 172 1.03 37855 1.8 0 0
264 172 1.05 37542 1.79 0 0
266 172 1.06 37221 1.77 0 0
268 172 1.07 36914 1.76 0 0
270 172 1.09 36580 1.74 0 0
272 172 1.1 36240 1.72 0 0
274 172 1.11 35910 1.71 0 0
276 172 1.13 35569 1.69 0 0
278 172 1.14 35229 1.68 0 0
280 172 1.16 34880 1.66 0 0
282 172 1.17 34531 1.64 0 0
284 172 1.18 34172 1.63 0 0
286 172 1.2 33815 1.61 0 0
288 172 1.21 33448 1.59 0 0
290 172 1.23 33081 1.57 0 0
292 172 1.24 32715 1.56 0 0
294 172 1.26 32332 1.54 0 0
296 172 1.28 31943 1.52 0 0
298 172 1.29 31558 1.5 0 0
300 172 1.31 31166 1.48 0 0
302 172 1.32 30777 1.46 0 0
304 172 1.34 30380 1.45 0 0
306 172 1.36 29973 1.43 0 0
308 172 1.37 29560 1.41 0 0
310 172 1.39 29155 1.39 0 0
312 172 1.41 28731 1.37 0 0
314 172 1.43 28312 1.35 0 0
316 172 1.44 27888 1.33 0 0
318 172 1.46 27457 1.31 0 0
320 172 1.48 27024 1.28 0 0
322 172 1.5 26567 1.26 0 0
324 172 1.52 26107 1.24 0 0
326 172 1.53 25660 1.22 0 0
328 172 1.55 25198 1.2 0 0
330 172 1.57 24724 1.17 0 0
332 172 1.59 24242 1.15 0 0
334 172 1.61 23765 1.13 0 0
336 172 1.63 23285 1.11 0 0
338 172 1.65 22792 1.08 0 0
340 344 1.67 22286 1.06 0 0
342 344 1.69 21791 1.03 0 0
344 344 1.72 21284 1.01 0 0
346 344 1.74 20759 0.98 0 0
348 344 1.76 20246 0.96 0 0
350 344 1.78 19712 0.93 0 0
352 344 1.8 19185 0.91 0 0
354 344 1.82 18653 0.88 0 0
356 344 1.85 18101 0.86 0 0
358 344 1.87 17543 0.83 0 0
360 344 1.89 16979 0.8 0 0
362 344 1.92 16410 0.78 0 0
364 344 1.94 15811 0.75 0 0
366 344 1.96 15233 0.72 0 0
368 344 1.99 14646 0.69 0 0
370 344 2.01 14044 0.66 0 0
372 344 2.04 13437 0.63 0 0
374 344 2.06 12836 0.6 0 0
376 344 2.09 12213 0.57 0 0
378 344 2.11 11581 0.54 0 0
380 344 2.14 10929 0.51 0 0
382 344 2.17 10280 0.48 0 0
384 344 2.19 9624 0.45 0 0
386 344 2.22 8970 0.42 0 0
388 344 2.25 8289 0.39 0 0
390 344 2.28 7603 0.36 0 0
392 344 2.31 6914 0.32 0 0
394 344 2.33 6225 0.29 0 0
396 344 2.36 5514 0.26 0 0
398 344 2.39 4785 0.22 0 0
400 344 2.42 4060 0.19 0 2
402 344 2.45 3325 0.15 0 1
404 344 2.48 2625 0.12 0 9
406 344 2.51 1959 0.09 0 32
408 344 2.53 1366 0.06 0 70
410 344 2.55 852 0.04 0 98
412 344 2.57 446 0.02 0 140
414 344 2.58 175 0.01 0 209
416 344 2.59 49 0.0 0 267
418 344 2.59 3 0.0 0 310
420 344 2.59 1 0.0 0 342
422 344 2.59 0 0.0 0 343
424 344 2.59 0 0.0 0 344
426 344 2.59 0 0.0 0 344
428 344 2.59 0 0.0 0 344
430 344 2.59 0 0.0 0 344
432 344 2.59 0 0.0 0 344
434 344 2.59 0 0.0 0 344
436 344 2.59 0 0.0 0 344
438 344 2.59 0 0.0 0 344
440 344 2.59 0 0.0 0 344
442 344 2.59 0 0.0 0 344
444 344 2.59 0 0.0 0 344
446 344 2.59 0 0.0 0 344
448 344 2.59 0 0.0 0 344
450 344 2.59 0 0.0 0 344
452 344 2.59 0 0.0 0 344
454 344 2.59 0 0.0 0 344
456 344 2.59 0 0.0 0 344
458 344 2.59 0 0.0 0 344
460 344 2.59 0 0.0 0 344
462 344 2.59 0 0.0 0 344
464 344 2.59 0 0.0 0 344
466 344 2.59 0 0.0 0 344
468 344 2.59 0 0.0 0 344
470 344 2.59 0 0.0 0 344
472 344 2.59 0 0.0 0 344
474 344 2.59 0 0.0 0 344
476 344 2.59 0 0.0 0 344
478 344 2.59 0 0.0 0 344
480 344 2.59 0 0.0 0 344
482 344 2.59 0 0.0 0 344
484 344 2.59 0 0.0 0 344
486 344 2.59 0 0.0 0 344
488 344 2.59 0 0.0 0 344
490 344 2.59 0 0.0 0 344
492 344 2.59 0 0.0 0 344
494 344 2.59 0 0.0 0 344
496 344 2.59 0 0.0 0 344
498 344 2.59 0 0.0 0 344
500 344 2.59 0 0.0 0 344
502 344 2.59 0 0.0 0 344
504 344 2.59 0 0.0 0 344
506 344 2.59 0 0.0 0 344
508 344 2.59 0 0.0 0 344
510 344 2.59 0 0.0 0 344
512 344 2.59 0 0.0 0 344
514 344 2.59 0 0.0 0 344
516 344 2.59 0 0.0 0 344
518 344 2.59 0 0.0 0 344
520 344 2.59 0 0.0 0 344
522 344 2.59 0 0.0 0 344
524 344 2.59 0 0.0 0 344
526 344 2.59 0 0.0 0 344
528 344 2.59 0 0.0 0 344
530 344 2.59 0 0.0 0 344
532 344 2.59 0 0.0 0 344
534 344 2.59 0 0.0 0 344
536 344 2.59 0 0.0 0 344
538 344 2.59 0 0.0 0 344
540 344 2.59 0 0.0 0 344
542 344 2.59 0 0.0 0 344
544 344 2.59 0 0.0 0 344
546 344 2.59 0 0.0 0 344
548 344 2.59 0 0.0 0 344
550 344 2.59 0 0.0 0 344
552 344 2.59 0 0.0 0 344
554 344 2.59 0 0.0 0 344
556 344 2.59 0 0.0 0 344
558 344 2.59 0 0.0 0 344
560 344 2.59 0 0.0 0 344
562 344 2.59 0 0.0 0 344
564 344 2.59 0 0.0 0 344
566 344 2.59 0 0.0 0 344
568 344 2.59 0 0.0 0 344
570 344 2.59 0 0.0 0 344
572 344 2.59 0 0.0 0 344
574 344 2.59 0 0.0 0 344
576 344 2.59 0 0.0 0 344
578 344 2.59 0 0.0 0 344
580 344 2.59 0 0.0 0 344
582 344 2.59 0 0.0 0 344
584 344 2.59 0 0.0 0 344
586 344 2.59 0 0.0 0 344
588 344 2.59 0 0.0 0 344
590 344 2.59 0 0.0 0 344
592 344 2.59 0 0.0 0 344
594 344 2.59 0 0.0 0 344
596 344 2.59 0 0.0 0 344
598 344 2.59 0 0.0 0 344
600 344 2.59 0 0.0 0 344
602 344 2.59 0 0.0 0 344
